Rule,Support,Confidence,Lift,Item1,Item2,Item3,Consequent
rule739,0.081,0.505,1.342,shampoo, lunch meat,,juice
rule692,0.080,0.506,1.342,spaghetti sauce, mixes,,juice
rule842,0.082,0.505,1.342,spaghetti sauce, laundry detergent,,juice
rule1122,0.087,0.566,1.342,dinner rolls, hand soap,,poultry
rule1107,0.087,0.566,1.342,lunch meat, mixes,,poultry
rule1031,0.085,0.516,1.342,eggs, juice,,yogurt
rule661,0.080,0.503,1.341,paper towels, poultry,,all- purpose
rule877,0.083,0.503,1.341,paper towels, cereals,,beef
rule878,0.083,0.531,1.341,paper towels, beef,,cereals
rule437,0.077,0.509,1.341,waffles, pork,,coffee/tea
rule1014,0.084,0.522,1.341,dishwashing liquid/detergent, pasta,,dinner rolls
rule507,0.078,0.520,1.341,flour, mixes,,dishwashing liquid/detergent
rule306,0.075,0.535,1.341,sandwich loaves, fruits,,ice cream
rule1143,0.088,0.565,1.341,beef, sugar,,poultry
rule1136,0.088,0.565,1.341,dinner rolls, all- purpose,,poultry
rule401,0.076,0.509,1.341,sandwich loaves, aluminum foil,,soap
rule160,0.072,0.516,1.341,sandwich loaves, fruits,,yogurt
rule177,0.072,0.522,1.340,butter, sugar,,eggs
rule247,0.074,0.500,1.340,butter, juice,,spaghetti sauce
rule1087,0.086,0.500,1.340,juice, aluminum foil,,spaghetti sauce
rule473,0.077,0.500,1.340,laundry detergent, soap,,spaghetti sauce
rule816,0.082,0.500,1.340,laundry detergent, soda,,spaghetti sauce
rule905,0.083,0.528,1.340,coffee/tea, juice,,waffles
rule639,0.080,0.523,1.339,dinner rolls, sandwich bags,,cheeses
rule98,0.069,0.523,1.339,spaghetti sauce, flour,,cheeses
rule728,0.081,0.520,1.339,mixes, pork,,dishwashing liquid/detergent
rule1208,0.090,0.534,1.339,cheeses, aluminum foil,,ice cream
rule219,0.073,0.503,1.339,sandwich loaves, juice,,individual meals
rule73,0.067,0.507,1.339,butter, hand soap,,laundry detergent
rule70,0.067,0.507,1.339,sandwich bags, sugar,,laundry detergent
rule212,0.073,0.503,1.339,cheeses, tortillas,,mixes
rule78,0.068,0.503,1.339,shampoo, tortillas,,mixes
rule1173,0.089,0.564,1.339,dinner rolls, juice,,poultry
rule779,0.081,0.564,1.339,juice, sugar,,poultry
rule1165,0.089,0.523,1.339,eggs, waffles,,soda
rule573,0.079,0.523,1.339,flour, soap,,soda
rule580,0.079,0.523,1.339,pasta, milk,,soda
rule294,0.075,0.528,1.339,beef, coffee/tea,,waffles
rule488,0.078,0.514,1.338,paper towels, yogurt,,aluminum foil
rule1025,0.084,0.522,1.338,paper towels, milk,,eggs
rule460,0.077,0.503,1.338,dinner rolls, hand soap,,mixes
rule1137,0.088,0.508,1.338,poultry, soda,,soap
rule1199,0.090,0.523,1.338,dinner rolls, pasta,,soda
rule1202,0.090,0.523,1.338,ice cream, waffles,,soda
rule116,0.070,0.523,1.338,sandwich loaves, milk,,soda
rule430,0.077,0.515,1.338,sandwich loaves, aluminum foil,,yogurt
rule590,0.079,0.514,1.337,ice cream, mixes,,aluminum foil
rule675,0.080,0.514,1.337,paper towels, shampoo,,aluminum foil
rule613,0.079,0.529,1.337,toilet paper, mixes,,cereals
rule1117,0.087,0.521,1.337,dishwashing liquid/detergent, soda,,eggs
rule282,0.075,0.506,1.337,butter, all- purpose,,laundry detergent
rule194,0.073,0.506,1.337,individual meals, sandwich bags,,laundry detergent
rule813,0.082,0.522,1.337,waffles, laundry detergent,,soda
rule719,0.081,0.514,1.337,pasta, aluminum foil,,yogurt
rule858,0.083,0.514,1.336,yogurt, coffee/tea,,aluminum foil
rule811,0.082,0.520,1.336,poultry, flour,,dinner rolls
rule191,0.073,0.503,1.336,pork, soap,,juice
rule102,0.069,0.503,1.336,shampoo, hand soap,,juice
rule72,0.067,0.503,1.336,spaghetti sauce, flour,,juice
rule642,0.080,0.506,1.336,cereals, sandwich bags,,laundry detergent
rule1018,0.084,0.508,1.336,ice cream, cereals,,milk
rule1024,0.084,0.508,1.336,paper towels, eggs,,milk
rule940,0.083,0.522,1.336,pasta, soap,,soda
rule654,0.080,0.506,1.336,bagels, lunch meat,,toilet paper
rule115,0.070,0.506,1.335,paper towels, flour,,coffee/tea
rule167,0.072,0.506,1.335,pasta, lunch meat,,coffee/tea
rule629,0.079,0.520,1.335,bagels, pasta,,eggs
rule916,0.083,0.503,1.335,coffee/tea, ketchup,,juice
rule753,0.081,0.503,1.335,laundry detergent, aluminum foil,,juice
rule362,0.076,0.503,1.335,paper towels, yogurt,,juice
rule463,0.077,0.503,1.335,shampoo, laundry detergent,,juice
rule790,0.082,0.503,1.335,yogurt, bagels,,juice
rule378,0.076,0.527,1.335,fruits, individual meals,,lunch meat
rule1037,0.085,0.522,1.335,eggs, spaghetti sauce,,soda
rule1119,0.087,0.505,1.335,juice, aluminum foil,,toilet paper
rule1140,0.088,0.526,1.335,dishwashing liquid/detergent, soda,,waffles
rule147,0.071,0.500,1.334,aluminum foil, sugar,,beef
rule648,0.080,0.500,1.334,shampoo, lunch meat,,beef
rule1095,0.086,0.503,1.334,shampoo, poultry,,juice
rule1216,0.091,0.562,1.334,dinner rolls, lunch meat,,poultry
rule1074,0.086,0.513,1.334,cheeses, coffee/tea,,yogurt
rule832,0.082,0.514,1.333,dishwashing liquid/detergent, aluminum foil,,bagels
rule682,0.080,0.506,1.333,dinner rolls, ketchup,,coffee/tea
rule1092,0.086,0.519,1.333,paper towels, eggs,,dinner rolls
rule822,0.082,0.520,1.333,bagels, soda,,eggs
rule1146,0.088,0.562,1.333,dinner rolls, milk,,poultry
rule621,0.079,0.506,1.333,pasta, ketchup,,soap
rule1141,0.088,0.521,1.333,eggs, milk,,soda
rule534,0.078,0.520,1.332,spaghetti sauce, sandwich loaves,,cheeses
rule120,0.070,0.506,1.332,hand soap, aluminum foil,,milk
rule1153,0.088,0.513,1.331,dishwashing liquid/detergent, eggs,,bagels
rule1070,0.085,0.519,1.331,paper towels, cereals,,eggs
rule646,0.080,0.500,1.331,lunch meat, soda,,individual meals
rule655,0.080,0.526,1.331,dishwashing liquid/detergent, sugar,,lunch meat
rule740,0.081,0.526,1.331,eggs, individual meals,,lunch meat
rule64,0.066,0.500,1.331,butter, hand soap,,mixes
rule245,0.074,0.500,1.331,butter, aluminum foil,,mixes
rule407,0.076,0.500,1.331,dishwashing liquid/detergent, toilet paper,,mixes
rule937,0.083,0.500,1.331,dishwashing liquid/detergent, soda,,mixes
rule1045,0.085,0.500,1.331,dishwashing liquid/detergent, milk,,mixes
rule100,0.069,0.500,1.331,hand soap, aluminum foil,,mixes
rule103,0.069,0.500,1.331,hand soap, cereals,,mixes
rule89,0.069,0.500,1.331,hand soap, sandwich bags,,mixes
rule152,0.071,0.500,1.331,paper towels, tortillas,,mixes
rule470,0.077,0.500,1.331,poultry, hand soap,,mixes
rule599,0.079,0.500,1.331,shampoo, cheeses,,mixes
rule229,0.074,0.500,1.331,tortillas, pork,,mixes
rule1186,0.090,0.505,1.331,waffles, soda,,soap
rule664,0.080,0.520,1.331,pasta, laundry detergent,,soda
rule943,0.083,0.525,1.331,coffee/tea, soda,,waffles
rule665,0.080,0.520,1.331,eggs, individual meals,,soda
rule890,0.083,0.500,1.331,poultry, ketchup,,mixes
rule1219,0.091,0.517,1.330,eggs, poultry,,dinner rolls
rule1001,0.084,0.516,1.330,fruits, lunch meat,,dishwashing liquid/detergent
rule1059,0.085,0.561,1.330,toilet paper, sugar,,poultry
rule96,0.069,0.503,1.330,flour, juice,,toilet paper
rule549,0.079,0.511,1.330,flour, aluminum foil,,yogurt
rule222,0.073,0.512,1.329,paper towels, tortillas,,bagels
rule345,0.076,0.518,1.329,bagels, soap,,eggs
rule514,0.078,0.503,1.329,beef, juice,,toilet paper
rule478,0.077,0.503,1.329,milk, juice,,toilet paper
rule410,0.076,0.512,1.328,fruits, mixes,,bagels
rule1091,0.086,0.500,1.328,dinner rolls, spaghetti sauce,,juice
rule702,0.080,0.500,1.328,ice cream, toilet paper,,juice
rule1055,0.085,0.500,1.328,paper towels, ice cream,,juice
rule610,0.079,0.500,1.328,shampoo, bagels,,juice
rule127,0.071,0.500,1.328,spaghetti sauce, pork,,juice
rule533,0.078,0.500,1.328,toilet paper, ketchup,,juice
rule1196,0.090,0.502,1.328,poultry, milk,,laundry detergent
rule929,0.083,0.525,1.328,dishwashing liquid/detergent, individual meals,,lunch meat
rule310,0.075,0.518,1.327,fruits, pasta,,cheeses
rule352,0.076,0.515,1.327,fruits, milk,,dishwashing liquid/detergent
rule342,0.076,0.515,1.327,pasta, mixes,,dishwashing liquid/detergent
rule541,0.078,0.517,1.327,pasta, milk,,eggs
rule1033,0.085,0.524,1.327,ice cream, individual meals,,lunch meat
rule61,0.065,0.503,1.327,sandwich loaves, laundry detergent,,soap
rule1105,0.087,0.510,1.327,shampoo, juice,,yogurt
rule1167,0.089,0.510,1.326,mixes, cereals,,aluminum foil
rule776,0.081,0.511,1.326,spaghetti sauce, individual meals,,bagels
rule287,0.075,0.503,1.326,flour, pasta,,coffee/tea
rule441,0.077,0.524,1.326,individual meals, beef,,lunch meat
rule447,0.077,0.503,1.326,all- purpose, toilet paper,,soap
rule90,0.069,0.510,1.325,flour, bagels,,aluminum foil
rule149,0.071,0.509,1.325,paper towels, sandwich loaves,,aluminum foil
rule988,0.084,0.525,1.325,yogurt, coffee/tea,,cereals
rule368,0.076,0.518,1.325,spaghetti sauce, sandwich bags,,cheeses
rule298,0.075,0.515,1.325,spaghetti sauce, sugar,,dinner rolls
rule680,0.080,0.514,1.325,dinner rolls, bagels,,dishwashing liquid/detergent
rule561,0.079,0.514,1.325,lunch meat, mixes,,dishwashing liquid/detergent
rule910,0.083,0.516,1.325,cheeses, pasta,,eggs
rule809,0.082,0.503,1.325,all- purpose, laundry detergent,,soap
rule894,0.083,0.503,1.325,spaghetti sauce, waffles,,soap
rule1185,0.090,0.518,1.325,waffles, soap,,soda
rule188,0.073,0.509,1.324,waffles, milk,,yogurt
rule248,0.074,0.509,1.324,beef, mixes,,aluminum foil
rule250,0.074,0.509,1.324,sandwich loaves, bagels,,aluminum foil
rule979,0.083,0.516,1.324,bagels, milk,,eggs
rule980,0.083,0.516,1.324,poultry, pasta,,eggs
rule952,0.083,0.528,1.324,fruits, aluminum foil,,ice cream
rule1175,0.089,0.558,1.324,dinner rolls, coffee/tea,,poultry
rule1217,0.091,0.517,1.324,eggs, poultry,,soda
rule921,0.083,0.522,1.324,lunch meat, soda,,waffles
rule925,0.083,0.522,1.324,shampoo, lunch meat,,waffles
rule266,0.075,0.509,1.324,juice, sandwich bags,,yogurt
rule187,0.073,0.509,1.324,shampoo, flour,,yogurt
rule1128,0.087,0.524,1.323,milk, laundry detergent,,cereals
rule734,0.081,0.517,1.323,ice cream, sandwich bags,,cheeses
rule1067,0.085,0.513,1.323,paper towels, eggs,,dishwashing liquid/detergent
rule1115,0.087,0.516,1.323,cheeses, soda,,eggs
rule1013,0.084,0.527,1.323,paper towels, aluminum foil,,ice cream
rule584,0.079,0.503,1.323,dishwashing liquid/detergent, beef,,milk
rule360,0.076,0.503,1.323,paper towels, yogurt,,milk
rule1030,0.085,0.557,1.323,yogurt, sandwich loaves,,poultry
rule663,0.080,0.517,1.323,sugar, soap,,soda
rule429,0.077,0.509,1.323,flour, coffee/tea,,yogurt
rule756,0.081,0.508,1.322,paper towels, juice,,aluminum foil
rule720,0.081,0.508,1.322,yogurt, pasta,,aluminum foil
rule820,0.082,0.503,1.322,toilet paper, soda,,milk
rule723,0.081,0.503,1.322,yogurt, coffee/tea,,milk
rule942,0.083,0.516,1.322,pasta, waffles,,soda
rule873,0.083,0.516,1.322,waffles, sugar,,soda
rule631,0.080,0.508,1.322,all- purpose, aluminum foil,,yogurt
rule547,0.079,0.508,1.322,dinner rolls, all- purpose,,yogurt
rule717,0.081,0.508,1.322,shampoo, aluminum foil,,yogurt
rule785,0.082,0.508,1.322,waffles, cereals,,yogurt
rule718,0.081,0.508,1.322,yogurt, shampoo,,aluminum foil
rule264,0.074,0.509,1.321,fruits, individual meals,,bagels
rule625,0.079,0.523,1.321,paper towels, cheeses,,cereals
rule114,0.070,0.516,1.321,flour, bagels,,cheeses
rule1020,0.084,0.516,1.321,poultry, sandwich loaves,,cheeses
rule334,0.076,0.515,1.321,pasta, beef,,eggs
rule810,0.082,0.500,1.321,all- purpose, soap,,laundry detergent
rule1126,0.087,0.500,1.321,milk, cereals,,laundry detergent
rule326,0.076,0.500,1.321,sandwich bags, aluminum foil,,laundry detergent
rule1213,0.090,0.557,1.321,dinner rolls, mixes,,poultry
rule246,0.074,0.500,1.321,butter, juice,,toilet paper
rule436,0.077,0.521,1.321,coffee/tea, pork,,waffles
rule404,0.076,0.509,1.320,dinner rolls, toilet paper,,bagels
rule185,0.072,0.516,1.320,shampoo, spaghetti sauce,,cheeses
rule263,0.074,0.512,1.320,fruits, pasta,,dishwashing liquid/detergent
rule592,0.079,0.526,1.320,sandwich loaves, aluminum foil,,ice cream
rule1241,0.096,0.556,1.320,juice, aluminum foil,,poultry
rule1072,0.086,0.508,1.320,eggs, cheeses,,yogurt
rule408,0.076,0.512,1.319,toilet paper, mixes,,dishwashing liquid/detergent
rule630,0.079,0.514,1.319,paper towels, bagels,,eggs
rule328,0.076,0.521,1.319,flour, waffles,,lunch meat
rule1110,0.087,0.521,1.319,poultry, waffles,,lunch meat
rule284,0.075,0.515,1.319,flour, waffles,,soda
rule290,0.075,0.515,1.319,milk, individual meals,,soda
rule244,0.074,0.515,1.319,waffles, milk,,soda
rule528,0.078,0.500,1.318,waffles, individual meals,,soap
rule249,0.074,0.522,1.318,beef, coffee/tea,,cereals
rule540,0.078,0.500,1.318,milk, ketchup,,coffee/tea
rule1076,0.086,0.500,1.318,yogurt, cheeses,,coffee/tea
rule1194,0.090,0.513,1.318,poultry, laundry detergent,,dinner rolls
rule762,0.081,0.514,1.318,dinner rolls, juice,,eggs
rule1157,0.089,0.521,1.318,paper towels, ice cream,,lunch meat
rule133,0.071,0.500,1.318,all- purpose, flour,,soap
rule574,0.079,0.500,1.318,flour, soda,,soap
rule645,0.080,0.500,1.318,lunch meat, soda,,soap
rule148,0.071,0.500,1.318,sandwich loaves, beef,,soap
rule527,0.078,0.500,1.318,toilet paper, ketchup,,soap
rule695,0.080,0.500,1.318,waffles, sugar,,soap
rule830,0.082,0.520,1.318,aluminum foil, soap,,waffles
rule821,0.082,0.520,1.318,soda, juice,,waffles
rule87,0.069,0.506,1.317,sandwich loaves, sugar,,yogurt
rule159,0.072,0.506,1.316,flour, toilet paper,,yogurt
rule293,0.075,0.506,1.316,individual meals, beef,,aluminum foil
rule409,0.076,0.521,1.316,pasta, mixes,,cereals
rule558,0.079,0.514,1.316,butter, sandwich bags,,cheeses
rule992,0.084,0.525,1.316,cheeses, lunch meat,,ice cream
rule348,0.076,0.524,1.316,fruits, pasta,,ice cream
rule647,0.080,0.520,1.316,shampoo, beef,,lunch meat
rule158,0.072,0.506,1.316,all- purpose, flour,,yogurt
rule593,0.079,0.506,1.315,cereals, juice,,aluminum foil
rule516,0.078,0.506,1.315,waffles, mixes,,aluminum foil
rule431,0.077,0.506,1.315,yogurt, sandwich loaves,,aluminum foil
rule633,0.080,0.506,1.315,yogurt, individual meals,,aluminum foil
rule141,0.071,0.513,1.315,hand soap, soda,,eggs
rule945,0.083,0.500,1.315,dishwashing liquid/detergent, soda,,milk
rule340,0.076,0.500,1.315,shampoo, eggs,,milk
rule1064,0.085,0.554,1.315,dishwashing liquid/detergent, coffee/tea,,poultry
rule1184,0.090,0.554,1.315,lunch meat, sugar,,poultry
rule712,0.081,0.505,1.315,beef, aluminum foil,,yogurt
rule433,0.077,0.506,1.315,cheeses, sugar,,yogurt
rule553,0.079,0.506,1.315,cheeses, milk,,yogurt
rule714,0.081,0.505,1.315,cheeses, beef,,yogurt
rule823,0.082,0.505,1.314,ice cream, beef,,aluminum foil
rule951,0.083,0.505,1.314,ice cream, fruits,,aluminum foil
rule978,0.083,0.514,1.314,bagels, cereals,,cheeses
rule851,0.082,0.554,1.314,tortillas, sugar,,poultry
rule939,0.083,0.514,1.314,cheeses, soap,,soda
rule1039,0.085,0.513,1.314,paper towels, eggs,,soda
rule985,0.084,0.505,1.314,poultry, waffles,,yogurt
rule1207,0.090,0.505,1.313,ice cream, cheeses,,aluminum foil
rule1210,0.090,0.505,1.313,poultry, ice cream,,aluminum foil
rule1118,0.087,0.505,1.313,toilet paper, juice,,aluminum foil
rule197,0.073,0.506,1.313,individual meals, sandwich bags,,bagels
rule384,0.076,0.512,1.313,spaghetti sauce, all- purpose,,eggs
rule1114,0.087,0.513,1.313,eggs, cheeses,,soda
rule1103,0.087,0.505,1.313,mixes, aluminum foil,,yogurt
rule483,0.077,0.506,1.312,individual meals, tortillas,,bagels
rule624,0.079,0.506,1.312,tortillas, toilet paper,,bagels
rule859,0.083,0.519,1.312,yogurt, laundry detergent,,cereals
rule1209,0.090,0.512,1.312,ice cream, aluminum foil,,cheeses
rule174,0.072,0.509,1.312,butter, fruits,,dishwashing liquid/detergent
rule545,0.078,0.511,1.312,pasta, tortillas,,eggs
rule240,0.074,0.519,1.312,coffee/tea, sugar,,lunch meat
rule886,0.083,0.553,1.312,dinner rolls, sandwich loaves,,poultry
rule172,0.072,0.513,1.312,milk, sugar,,soda
rule136,0.071,0.513,1.312,paper towels, flour,,soda
rule696,0.080,0.517,1.312,sugar, soap,,waffles
rule216,0.073,0.512,1.311,coffee/tea, sugar,,cheeses
rule1229,0.092,0.510,1.311,poultry, cereals,,dinner rolls
rule469,0.077,0.509,1.311,hand soap, mixes,,dishwashing liquid/detergent
rule537,0.078,0.509,1.311,milk, juice,,dishwashing liquid/detergent
rule914,0.083,0.511,1.311,dishwashing liquid/detergent, pasta,,eggs
rule767,0.081,0.523,1.311,paper towels, soap,,ice cream
rule843,0.082,0.522,1.311,paper towels, waffles,,ice cream
rule121,0.070,0.510,1.310,hand soap, sugar,,dinner rolls
rule971,0.083,0.522,1.310,cheeses, pasta,,ice cream
rule41,0.052,0.522,1.310,dinner rolls, spaghetti sauce, poultry,ice cream
rule557,0.079,0.552,1.310,dinner rolls, pork,,poultry
rule392,0.076,0.512,1.310,dinner rolls, individual meals,,soda
rule386,0.076,0.512,1.310,eggs, flour,,soda
rule452,0.077,0.512,1.310,pasta, sugar,,soda
rule893,0.083,0.516,1.310,dishwashing liquid/detergent, soap,,waffles
rule1134,0.088,0.518,1.309,cheeses, sandwich bags,,cereals
rule638,0.080,0.511,1.309,beef, sandwich bags,,cheeses
rule635,0.080,0.511,1.309,yogurt, ice cream,,cheeses
rule1065,0.085,0.508,1.309,poultry, fruits,,dishwashing liquid/detergent
rule578,0.079,0.511,1.309,laundry detergent, soap,,soda
rule998,0.084,0.516,1.309,fruits, lunch meat,,waffles
rule86,0.069,0.503,1.309,flour, juice,,yogurt
rule518,0.078,0.503,1.308,individual meals, juice,,aluminum foil
rule487,0.078,0.503,1.308,yogurt, sandwich bags,,aluminum foil
rule346,0.076,0.518,1.308,laundry detergent, coffee/tea,,cereals
rule387,0.076,0.509,1.308,flour, mixes,,dinner rolls
rule337,0.076,0.509,1.308,hand soap, pasta,,dinner rolls
rule459,0.077,0.509,1.308,hand soap, mixes,,dinner rolls
rule391,0.076,0.509,1.308,shampoo, soda,,dinner rolls
rule519,0.078,0.509,1.308,shampoo, laundry detergent,,dinner rolls
rule729,0.081,0.511,1.308,milk, sandwich bags,,soda
rule872,0.083,0.511,1.308,milk, soap,,soda
rule358,0.076,0.503,1.308,all- purpose, mixes,,yogurt
rule189,0.073,0.503,1.308,cheeses, tortillas,,yogurt
rule226,0.074,0.503,1.308,fruits, milk,,yogurt
rule320,0.076,0.503,1.308,shampoo, soda,,yogurt
rule321,0.076,0.503,1.308,cheeses, juice,,yogurt
rule551,0.079,0.503,1.307,poultry, flour,,yogurt
rule678,0.080,0.503,1.307,spaghetti sauce, ice cream,,aluminum foil
rule550,0.079,0.503,1.307,yogurt, flour,,aluminum foil
rule982,0.084,0.503,1.307,yogurt, soda,,aluminum foil
rule464,0.077,0.518,1.307,shampoo, milk,,cereals
rule673,0.080,0.508,1.307,pasta, aluminum foil,,dinner rolls
rule721,0.081,0.508,1.307,yogurt, pasta,,dinner rolls
rule145,0.071,0.509,1.307,butter, milk,,eggs
rule869,0.083,0.516,1.307,sandwich loaves, individual meals,,lunch meat
rule780,0.082,0.503,1.307,all- purpose, laundry detergent,,yogurt
rule789,0.082,0.503,1.307,bagels, juice,,yogurt
rule1028,0.085,0.503,1.307,cheeses, aluminum foil,,yogurt
rule1077,0.086,0.503,1.307,dishwashing liquid/detergent, eggs,,yogurt
rule634,0.080,0.503,1.307,milk, mixes,,yogurt
rule1155,0.089,0.502,1.307,poultry, juice,,yogurt
rule954,0.083,0.508,1.306,spaghetti sauce, waffles,,dinner rolls
rule129,0.071,0.516,1.306,flour, juice,,lunch meat
rule997,0.084,0.516,1.306,fruits, waffles,,lunch meat
rule1079,0.086,0.516,1.306,waffles, juice,,lunch meat
rule146,0.071,0.503,1.305,butter, fruits,,bagels
rule420,0.076,0.503,1.305,dishwashing liquid/detergent, tortillas,,bagels
rule1225,0.091,0.510,1.305,poultry, ice cream,,cheeses
rule1174,0.089,0.508,1.305,poultry, coffee/tea,,dinner rolls
rule505,0.078,0.509,1.305,all- purpose, juice,,eggs
rule522,0.078,0.509,1.305,dinner rolls, hand soap,,eggs
rule482,0.077,0.509,1.305,milk, coffee/tea,,eggs
rule117,0.070,0.510,1.304,butter, sugar,,cheeses
rule1235,0.095,0.507,1.304,eggs, soda,,dinner rolls
rule299,0.075,0.506,1.304,mixes, soap,,dishwashing liquid/detergent
rule305,0.075,0.506,1.304,paper towels, laundry detergent,,dishwashing liquid/detergent
rule242,0.074,0.509,1.303,flour, waffles,,cheeses
rule383,0.076,0.506,1.303,all- purpose, cereals,,dishwashing liquid/detergent
rule596,0.079,0.506,1.303,dinner rolls, milk,,dishwashing liquid/detergent
rule419,0.076,0.506,1.303,pasta, milk,,dishwashing liquid/detergent
rule602,0.079,0.506,1.303,shampoo, mixes,,dishwashing liquid/detergent
rule1052,0.085,0.508,1.303,ice cream, pasta,,eggs
rule1038,0.085,0.508,1.303,spaghetti sauce, soda,,eggs
rule1027,0.085,0.508,1.303,yogurt, soda,,eggs
rule329,0.076,0.515,1.303,dishwashing liquid/detergent, spaghetti sauce,,lunch meat
rule379,0.076,0.515,1.303,spaghetti sauce, tortillas,,lunch meat
rule936,0.083,0.549,1.303,all- purpose, milk,,poultry
rule227,0.074,0.509,1.303,pork, soap,,soda
rule961,0.083,0.514,1.303,cheeses, soap,,waffles
rule923,0.083,0.514,1.303,dinner rolls, lunch meat,,waffles
rule798,0.082,0.514,1.303,sandwich bags, soap,,waffles
rule895,0.083,0.514,1.303,spaghetti sauce, soap,,waffles
rule941,0.083,0.514,1.303,toilet paper, soda,,waffles
rule207,0.073,0.516,1.302,laundry detergent, beef,,cereals
rule209,0.073,0.516,1.302,tortillas, beef,,cereals
rule511,0.078,0.509,1.302,butter, ice cream,,cheeses
rule398,0.076,0.509,1.302,butter, spaghetti sauce,,cheeses
rule497,0.078,0.509,1.302,fruits, sandwich bags,,cheeses
rule370,0.076,0.509,1.302,paper towels, sandwich bags,,cheeses
rule1035,0.085,0.505,1.302,lunch meat, cereals,,dishwashing liquid/detergent
rule1142,0.088,0.508,1.302,milk, soda,,eggs
rule922,0.083,0.519,1.302,lunch meat, aluminum foil,,ice cream
rule499,0.078,0.514,1.302,butter, waffles,,lunch meat
rule451,0.077,0.509,1.302,dishwashing liquid/detergent, sugar,,soda
rule331,0.076,0.509,1.302,tortillas, soap,,soda
rule1032,0.085,0.513,1.302,lunch meat, soap,,waffles
rule314,0.075,0.515,1.301,fruits, individual meals,,cereals
rule1169,0.089,0.515,1.301,mixes, aluminum foil,,cereals
rule546,0.079,0.508,1.301,yogurt, sandwich bags,,cheeses
rule182,0.072,0.506,1.301,aluminum foil, sugar,,dinner rolls
rule405,0.076,0.506,1.301,pasta, sugar,,dinner rolls
rule1097,0.086,0.519,1.301,paper towels, eggs,,ice cream
rule656,0.080,0.514,1.301,spaghetti sauce, fruits,,lunch meat
rule804,0.082,0.514,1.301,spaghetti sauce, ice cream,,lunch meat
rule687,0.080,0.548,1.301,shampoo, dishwashing liquid/detergent,,poultry
rule576,0.079,0.508,1.301,dinner rolls, bagels,,soda
rule591,0.079,0.500,1.300,ice cream, sandwich loaves,,aluminum foil
rule210,0.073,0.500,1.300,shampoo, dishwashing liquid/detergent,,aluminum foil
rule1086,0.086,0.500,1.300,spaghetti sauce, juice,,aluminum foil
rule713,0.081,0.500,1.300,yogurt, beef,,aluminum foil
rule1007,0.084,0.508,1.300,butter, poultry,,cheeses
rule1017,0.084,0.508,1.300,ice cream, cereals,,cheeses
rule589,0.079,0.506,1.300,spaghetti sauce, aluminum foil,,dinner rolls
rule833,0.082,0.505,1.300,spaghetti sauce, laundry detergent,,dinner rolls
rule760,0.081,0.505,1.300,waffles, sugar,,dinner rolls
rule868,0.083,0.514,1.300,waffles, cereals,,lunch meat
rule350,0.076,0.548,1.300,hand soap, sugar,,poultry
rule199,0.073,0.512,1.300,pasta, lunch meat,,waffles
rule1187,0.090,0.513,1.300,soda, soap,,waffles
rule319,0.076,0.500,1.300,all- purpose, cereals,,yogurt
rule426,0.077,0.500,1.300,all- purpose, ketchup,,yogurt
rule356,0.076,0.500,1.300,dinner rolls, sandwich bags,,yogurt
rule361,0.076,0.500,1.300,dishwashing liquid/detergent, juice,,yogurt
rule632,0.080,0.500,1.300,eggs, all- purpose,,yogurt
rule782,0.082,0.500,1.300,eggs, beef,,yogurt
rule986,0.084,0.500,1.300,eggs, milk,,yogurt
rule725,0.081,0.500,1.300,fruits, cereals,,yogurt
rule225,0.074,0.500,1.300,sandwich loaves, mixes,,yogurt
rule834,0.082,0.505,1.300,pasta, waffles,,dinner rolls
rule835,0.082,0.505,1.300,pasta, cereals,,dinner rolls
rule1148,0.088,0.508,1.299,ice cream, waffles,,cheeses
rule885,0.083,0.505,1.299,poultry, sandwich loaves,,dinner rolls
rule1081,0.086,0.513,1.299,poultry, fruits,,lunch meat
rule994,0.084,0.513,1.299,spaghetti sauce, waffles,,lunch meat
rule766,0.081,0.548,1.299,shampoo, sugar,,poultry
rule1116,0.087,0.508,1.299,dishwashing liquid/detergent, eggs,,soda
rule806,0.082,0.514,1.298,eggs, lunch meat,,cereals
rule838,0.082,0.514,1.298,milk, mixes,,cereals
rule224,0.073,0.506,1.298,fruits, pasta,,eggs
rule341,0.076,0.506,1.298,shampoo, milk,,eggs
rule130,0.071,0.513,1.298,hand soap, individual meals,,lunch meat
rule382,0.076,0.512,1.298,spaghetti sauce, all- purpose,,waffles
rule150,0.071,0.500,1.297,aluminum foil, sugar,,bagels
rule594,0.079,0.500,1.297,fruits, aluminum foil,,bagels
rule308,0.075,0.500,1.297,pasta, toilet paper,,bagels
rule62,0.066,0.500,1.297,pork, sugar,,bagels
rule586,0.079,0.500,1.297,spaghetti sauce, beef,,bagels
rule556,0.079,0.500,1.297,yogurt, individual meals,,bagels
rule74,0.067,0.507,1.297,dishwashing liquid/detergent, sandwich loaves,,cheeses
rule783,0.082,0.505,1.297,yogurt, beef,,eggs
rule198,0.073,0.512,1.297,flour, individual meals,,lunch meat
rule190,0.073,0.512,1.297,spaghetti sauce, pork,,lunch meat
rule918,0.083,0.547,1.297,eggs, sugar,,poultry
rule25,0.051,0.513,1.296,dinner rolls, spaghetti sauce, poultry,cereals
rule1069,0.085,0.513,1.296,paper towels, eggs,,cereals
rule179,0.072,0.506,1.296,sandwich loaves, beef,,cheeses
